category_id,name,product_slug,brand,model,description,manufacturer,thumbnail_image,rating,price
1,Element 65 4K UHD Roku TV,Element 65 4K UHD Roku TV,Element,Element,"['Built-in smart Roku platform with easy-to-use Roku remote for endless streaming', 'Striking 4K UHD (2160p) Resolution and HDR10 for the best viewing experience', 'Works with Google Home, Amazon Alexa, Apple AirPlay, and Apple Home', 'Free Roku mobile app to easily control your Roku TV with everything you need to manage your streaming', '2 Year Limited Warranty Available when registering item within 90 days of purchase', 'Distance Between TV Feet: 52.6”']",Element,https://target.scene7.com/is/image/Target/GUEST_871d7854-c411-4b70-b864-40ad50980123,4.17,329.99
1,Samsung 65 Smart 4K Crystal HDR UHD TV TU7000 Series (Titan Gray),Samsung 65 Smart 4K Crystal HDR UHD TV TU7000 Series (Titan Gray),Samsung,Samsung,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.', 'Boundless Design - An ultra-thin bezel on all sides for a stunningly clean look.']",Samsung,https://target.scene7.com/is/image/Target/GUEST_25fc0067-ea0f-4f4f-a52e-0c493d0d61c2,4.5,449.99
1,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'A5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_fb8f6716-b64d-4883-9a6f-6e9942a8510b,4.49,299.99
1,Samsung 70 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung 70 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,Samsung,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.', 'Boundless Design - An ultra-thin bezel on all sides for a stunningly clean look.']",Samsung,https://target.scene7.com/is/image/Target/GUEST_4e327478-bf8d-4c8f-a90a-7c561597896c,4.51,549.99
1,LG 65 Class 4K UHD Smart LED TV - 65UQ7570PUJ,LG 65 Class 4K UHD Smart LED TV - 65UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_0da53600-1705-4a33-9942-912095169954,4.29,449.99
1,Samsung 50 Crystal UHD 4K Smart TV - (UN50TU690T),Samsung 50 Crystal UHD 4K Smart TV - (UN50TU690T),Samsung,Samsung,"['Crystal Processor with 4K Upscaling - Watch what you love upgraded to 4K resolution with this blazing fast processor. See your content the way it was intended thanks to the powerful 4K upscaling of the Crystal Processor 4K. The best part, it’s automatically done for you.', 'PurColor - Enjoy colors fine tuned to how they were meant to be seen. Innovative color technology electronically adjusts and optimizes the colors on screen for true to life picture quality. Your favorite movies, shows and sports will suddenly take on a new look.', 'Smart TV Powered by Tizen - Stream your favorite shows. Follow recipes. Play games. Work out with a trainer. Do all you enjoy with Smart TV Powered by Tizen . In just a few clicks, get instant access to your must have apps and endless content from the streaming services you love. And with Voice Assistants built into your TV, it’s easy to get to it all with just the sound of your voice.', 'Direct Lit - See the blacks and whites fine tuned for enhanced contrast by Direct Lit LED technology. Right behind the screen, rows of LED bulbs bring color and brightness to the shows, movies and sports you watch', 'and stream.', ""HDR - See the dark and light in every scene to discover what today's HDR content delivers. With High Dynamic Range, enjoy a range of light levels that reveal a wide spectrum of vivid colors that turn up the brightness and contrast for a new generation of shows and movies made for it. Even in the darkest scenes, you’ll begin to see the details you hadn’t noticed before. And with streaming services making their latest for HDR, be ready with the technology to catch it all."", ""Mobile Mirroring - Enjoy your mobile content on the big screen no wires, no hassle, no headache. To scroll your social feed, take your calls and more, link your device in one of three easy ways. With Tap View, you can mirror what’s on your Samsung Galaxy with a single tap. For iOS devices, connect with AirPlay 2. Or if you use either Android or iOS, the SmartThings app gives you control of your device. Any way you choose, get ready to enjoy your mobile activities with a more spacious view.*    * Available on PC's with Window 10 OS or higher."", '4K UHD Upscaling - See everything you watch instantly transformed to incredible 4K resolution. Experience all you enjoy with the amazing clarity and details that 4K delivers, thanks to a powerful processor that upgrades your content scene by scene.', 'Universal Guide - Find your favorite movies and TV shows easily all in one place, with a simple on screen guide that provides you with tailored recommendations for exploring new content.', 'Adaptive Sound - Don’t miss another word. Adaptive Sound dials up the dialogue and other crucial sounds on the screen by tuning into what you want to hear most. In real time, it analyzes the sound in every scene of your content, to automatically adjust, equalize and optimize your audio. And it gets rid of the guessing game and keeps you in the story, ensuring you hear what you’re meant to hear loud and clear.', 'OneRemote* - Automatically detects and controls all compatible connected devices and content.*   *Remote color and design may vary by model.']",Samsung,https://target.scene7.com/is/image/Target/GUEST_4602200e-32e2-4985-a7b5-758b745061eb,5,299.99
1,LG 70 Class 4K UHD Smart LED TV - 70UQ7590PUB,LG 70 Class 4K UHD Smart LED TV - 70UQ7590PUB,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_64577087-90e6-4fef-9901-a497f22208b2,4.24,599.99
1,TCL 65 4k UHD HDR Smart Roku TV - 65S455,TCL 65 4k UHD HDR Smart Roku TV - 65S455,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_65367c5b-faf6-4069-ab3e-4382e62ca5c9,3.33,399.99
1,Samsung 50 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung 50 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,Samsung,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.', 'Boundless Design - An ultra-thin bezel on all sides for a stunningly clean look.']",Samsung,https://target.scene7.com/is/image/Target/GUEST_4e327478-bf8d-4c8f-a90a-7c561597896c,4.51,329.99
1,Core Innovations Low Profile TV Mount 23-65,Core Innovations Low Profile TV Mount 23-65,Core Innovations,Core Innovations,"['Fits TVs 23” - 65” weighing up to 77 lb.', 'Slim profile + lift and hook easy installation', 'VESA mounting: 75x75 - 400x400', 'Tested and certified in accordance with UL Standard 2442. This product has been tested to hold four times its maximum load capacity.', 'Includes a drilling template and all mounting hardware']",Core Innovations,https://target.scene7.com/is/image/Target/GUEST_6a07fc77-5ba2-4fe0-9f75-ddd3717184f2,4.68,17.49
