,canonicalUrl,description,image,name,price,rating.averageRating,rating.numberOfReviews
0,/ip/onn-24-Class-HD-720P-LED-Roku-Smart-TV-100012590/959853005?athbdg=L1100,"<li>onn. 24 Class HD (720P) LED Roku Smart TV (100012590): Roku streaming, crisp 720p resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/282e7806-0b65-40d1-af69-53b28c9b872e.521f8c03551e02f9f4ed89e39cc8f79a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 24 Class HD (720P) LED Roku Smart TV (100012590),98.0,4.1,2125.0
1,/ip/Sceptre-32-Class-720P-HD-LED-TV-X322BV-SR/55427159?athbdg=L1100,"<li>Diagonal screen size: 31.5""</li><li>Refresh rate: 60Hz</li><li>Backlight: LED</li><li>Smart Functionality: No</li><li>Inputs: (HDMI/USB): 2/1</li><li>Bluetooth: No</li>",https://i5.walmartimages.com/asr/ba1ae41e-b8da-4fb1-b6ec-434bacc5262e.38ed70951313b6bf265227d130d204f6.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"Sceptre 32"" Class 720P HD LED TV X322BV-SR",98.0,4.4,8457.0
2,/ip/VIZIO-24-Class-D-Series-HD-LED-Smart-TV-D24h-J09/733526938?athbdg=L1100,<li>720p HD Resolution</li><li>Full Array LED Backlight</li><li>IQ Picture Processor</li>,https://i5.walmartimages.com/asr/cd945df7-7f88-4ac0-a6ed-9b6cf9c7435b.0e17ee59ef18fbb9ba9a14fa8589103a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 24"" Class D-Series HD LED Smart TV D24h-J09",103.99,4.5,10345.0
3,/ip/onn-32-Class-HD-720P-LED-Roku-Smart-TV-100012589/314022535?athbdg=L1100,"<li>onn. 32 Class HD (720P) LED Roku Smart TV (100012589): Roku streaming, crisp 720p resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/fdb408cb-51fd-4ee2-a766-a567abf71721.96d149915306c9a2fe1e034d8ec86be5.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 32 Class HD (720P) LED Roku Smart TV (100012589),108.0,4.3,5812.0
4,/ip/Philips-32-Class-HD-720P-Smart-Roku-Borderless-LED-TV-32PFL6452-F7/487508960?athbdg=L1100,"Philips Brand 32"" HD Roku Smart Borderless TV",https://i5.walmartimages.com/asr/8349c14e-3a4c-4c8f-a7ab-35a0d88d31cc.3bdd5455f9a61c47bcc96906c3b2adf3.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Philips 32"" Class HD (720P) Smart Roku Borderless LED TV (32PFL6452/F7)",118.0,4.4,2082.0
5,/ip/TCL-32-Class-720P-HD-LED-Roku-Smart-TV-3-Series-32S331/721539264?athbdg=L1100,32'' Tcl 720p/hd Smart Roku Tv S331,https://i5.walmartimages.com/asr/0ee198a5-e8f2-4d92-9cc7-ce610dc2eb2e.eee8074ec77e7af0c9e2e2072b680d3a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 32"" Class 720P HD LED Roku Smart TV 3 Series 32S331",124.0,4.2,2863.0
6,/ip/VIZIO-32-Class-D-Series-HD-Smart-TV-D32h-J09/109704020?athbdg=L1100,<li>720p HD Resolution</li><li>Full Array LED Backlight</li><li>IQ Picture Processor</li>,https://i5.walmartimages.com/asr/b4355676-2de8-46a4-8556-13dfc806701c.659bdf512fdf7ed04ef0368f72396dde.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 32"" Class D-Series HD Smart TV D32h-J09",128.0,4.3,2022.0
7,/ip/Hisense-32-Class-720P-HD-LED-LCD-Roku-Smart-TV-H4030F-Series-32H4030F3/823810078?athbdg=L1100,"Hisense 32"" Class 720P HD LED Roku Smart TV 32H4030F3",https://i5.walmartimages.com/asr/f6753c8d-8704-4cc8-aa96-4381877ee3f6.80b291996762a7e8907c1c5ee33c9177.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Hisense 32"" Class 720P HD LED LCD Roku Smart TV H4030F Series 32H4030F3",138.0,4.4,1774.0
8,/ip/RCA-32-Class-HD-720P-Roku-Smart-LED-Television-RTR3260-W-Black/723086968,"<li>Diagonal Screen Size: 31.5""</li><li>Backlight Type: LED</li><li>Refresh Rate: 60Hz</li><li>Smart Functionality: Yes</li>",https://i5.walmartimages.com/asr/48a8bd5c-d94d-46d2-a569-945073a66de8.7bb224a96a7869562f5965e1cb0c7078.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"RCA 32"" Class HD 720P Roku Smart LED Television, RTR3260-W, Black",138.0,4.4,1238.0
9,/ip/LG-32-Class-HD-720p-Smart-LED-TV-32LM577BZUA/756338666,"32"" LG HD webOS Smart TV 32LM577",https://i5.walmartimages.com/asr/c9f45ebd-c07d-4d80-b6b0-dc92498a600b.9d01aa3bb55cee296d66bd9d3d7c6338.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"LG 32"" Class HD (720p) Smart LED TV (32LM577BZUA)",142.0,4.5,634.0
10,/ip/VIZIO-24-Class-D-Series-FHD-LED-Smart-TV-D24f-J09/139436690,<li>1080p High-Definition</li><li>Full Array LED Backlight</li><li>IQ Picture Processor</li>,https://i5.walmartimages.com/asr/cd945df7-7f88-4ac0-a6ed-9b6cf9c7435b.0e17ee59ef18fbb9ba9a14fa8589103a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 24"" Class D-Series FHD LED Smart TV D24f-J09",148.0,4.4,4080.0
11,/ip/TCL-32-Class-1080P-FHD-LED-Roku-Smart-TV-3-Series-32S327/409693367?athbdg=L1300,"<li>High definition (1080p) resolution</li><li>Simple, intuitive interface</li><li>Stream over 500,000movies & TV episodes</li><li>3 HDMI 1.4ainputs (1 ARC)</li><li>Dual-band Wi-Fi</li>",https://i5.walmartimages.com/asr/fe7464f9-9701-41c5-86d8-09ee4738cf00_1.da520b520a0c87f5249a1bf74e3ab2df.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"TCL 32"" Class 1080P FHD LED Roku Smart TV 3 Series 32S327",148.0,4.3,516.0
12,/ip/Sceptre-43-Class-1080P-FHD-LED-TV-X435BV-F/698772381,"<li>Screen Size (Diag.): 42.5""</li><li>Backlight Type: LED</li><li>Resolution: 1080p</li>",https://i5.walmartimages.com/asr/7b52e616-6bb6-49dd-9d43-b06e74c6287d.21a5b618d16b6f63ac438b7c5953b8db.png?odnHeight=180&odnWidth=180&odnBg=ffffff,"Sceptre 43"" Class 1080P FHD LED TV X435BV-F",158.0,4.1,1973.0
13,/ip/onn-42-Class-FHD-1080P-LED-Roku-Smart-TV-100068372/532711264,"<li>onn. 42 Class FHD (1080P) LED Roku Smart TV (100068372): Roku streaming, crisp 1080p resolution, 60 Hz refresh rate, DLED display</li>",https://i5.walmartimages.com/asr/cffb750b-8e86-49e6-b82d-d296c14942b1.3d972e231232417af23778fffcec9619.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,onn. 42 Class FHD (1080P) LED Roku Smart TV (100068372),158.0,4.0,392.0
14,/ip/VIZIO-24-Class-Full-HD-LED-SmartCast-Smart-TV-D-Series-D24f4-J01/898265731,<li>1080p High-Definition</li><li>Full Array LED Backlight</li><li>IQ Picture Processor</li>,https://i5.walmartimages.com/asr/305a46e9-8121-493a-8ec0-2ae2cbeb28af.23ca94adf91532dd2e63c4ad4e966a74.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"VIZIO 24"" Class Full HD LED SmartCast Smart TV D-Series D24f4-J01",158.0,4.4,4372.0
